fichier,phrase_id,position,mot,onset,offset,POS,surprisal_bits,surprise_structurale,oov,freq_zipf,n_phones
audio01.TextGrid,2,42,unlucky,19.080,19.670,JJ,5.1180,3.3537,1,3.63,6
audio01.TextGrid,3,1,and,20.430,20.510,CC,0.5482,5.5291,0,7.41,2
audio01.TextGrid,3,2,the,20.510,20.590,DT,0.7806,2.6730,0,7.73,2
audio01.TextGrid,3,3,boy,20.590,20.890,NN,13.6845,1.4493,0,5.17,2
audio01.TextGrid,3,4,had,20.890,21.050,VBD,4.2494,4.1007,0,6.33,3
audio01.TextGrid,3,5,gone,21.050,21.310,VBN,9.4744,3.2831,0,5.17,3
audio01.TextGrid,3,6,at,21.310,21.380,IN,4.5187,4.0984,0,6.7,2
audio01.TextGrid,3,7,their,21.380,21.570,PRP$,2.0576,5.0334,0,6.33,3
audio01.TextGrid,3,8,orders,21.570,22.040,NNS,7.7040,2.6653,0,4.73,5
audio01.TextGrid,3,9,in,22.040,22.150,IN,2.4946,2.4479,0,7.27,2
audio01.TextGrid,3,10,another,22.150,22.470,DT,7.4103,1.7704,0,5.74,5
audio01.TextGrid,3,11,boat,22.470,22.840,NN,4.8869,1.2945,1,4.71,3
audio01.TextGrid,3,12,which,22.840,23.040,WDT,0.9903,6.6801,0,6.3,3
audio01.TextGrid,3,13,caught,23.040,23.300,VBN,9.0593,7.2827,0,4.9,3
audio01.TextGrid,3,14,three,23.300,23.650,CD,6.1196,6.3746,0,5.78,3
audio01.TextGrid,3,15,good,23.650,24.010,NN,12.6845,2.5815,0,6.12,3
audio01.TextGrid,3,16,fish,24.010,24.330,VB,2.8428,8.0647,1,4.9,3
audio01.TextGrid,3,17,the,24.330,24.450,DT,0.7806,3.2778,0,7.73,2
audio01.TextGrid,3,18,first,24.450,24.870,JJ,6.4017,2.4686,0,6.11,4
audio01.TextGrid,3,19,week,24.870,25.210,NN,7.9032,0.8757,0,5.56,3
audio01.TextGrid,4,1,it,26.510,26.640,PRP,1.5724,5.9294,0,6.95,2
audio01.TextGrid,4,2,made,26.640,26.830,VBN,6.0150,7.6129,0,5.92,3
