fichier,phrase_id,position,mot,onset,offset,POS,surprise_incrementale,freq_zipf,n_phones
audio01.TextGrid,7,3,blotches,50.840,51.470,NNS,10.3247,2.45,7
audio01.TextGrid,7,4,of,51.470,51.570,IN,5.7911,7.4,2
audio01.TextGrid,7,5,the,51.570,51.660,DT,2.4637,7.73,2
audio01.TextGrid,7,6,benevolent,51.660,52.170,NN,15.5928,3.34,10
audio01.TextGrid,7,7,skin,52.170,52.510,NN,13.0244,4.91,4
audio01.TextGrid,7,8,cancer,52.510,52.990,NN,14.1225,4.93,5
audio01.TextGrid,7,9,the,52.990,53.100,DT,6.4577,7.73,2
audio01.TextGrid,7,10,sun,53.100,53.390,JJ,15.2865,4.97,3
audio01.TextGrid,7,11,brings,53.390,53.800,NNS,15.7810,4.61,5
audio01.TextGrid,7,12,from,53.800,53.980,IN,7.8911,6.63,4
audio01.TextGrid,7,13,its,53.980,54.170,PRP$,6.4304,6.14,3
audio01.TextGrid,7,14,reflection,54.170,54.640,NN,13.4217,4.17,9
audio01.TextGrid,7,15,on,54.640,54.780,IN,6.7349,6.91,2
audio01.TextGrid,7,16,the,54.780,54.860,DT,2.5066,7.73,2
audio01.TextGrid,7,17,tropic,54.860,55.280,NN,6.0624,2.83,6
audio01.TextGrid,7,18,sea,55.280,55.650,NN,13.8006,5.06,2
audio01.TextGrid,7,19,were,55.650,55.820,VBD,11.0948,6.34,2
audio01.TextGrid,7,20,on,55.820,55.980,IN,7.1639,6.91,2
audio01.TextGrid,7,21,his,55.980,56.160,PRP$,7.9674,6.51,3
audio01.TextGrid,7,22,cheeks,56.160,56.630,NN,6.2042,3.82,4
audio01.TextGrid,8,1,the,57.690,57.760,DT,3.2076,7.73,2
audio01.TextGrid,8,2,blotches,57.760,58.200,NNS,8.8908,2.45,7
audio01.TextGrid,8,3,ran,58.200,58.380,VBD,11.9722,4.87,3
audio01.TextGrid,8,4,well,58.380,58.610,RB,9.9500,6.03,3
audio01.TextGrid,8,5,down,58.610,58.890,IN,10.0008,5.88,3
audio01.TextGrid,8,6,the,58.890,58.980,DT,3.7692,7.73,2
audio01.TextGrid,8,7,sides,58.980,59.290,NNS,13.1353,4.73,4
audio01.TextGrid,8,8,of,59.290,59.400,IN,4.5478,7.4,2
audio01.TextGrid,8,9,his,59.400,59.600,PRP$,7.5683,6.51,3
audio01.TextGrid,8,10,face,59.600,60.070,NN,11.6959,5.45,3
audio01.TextGrid,8,11,and,60.070,60.220,CC,6.4337,7.41,3
audio01.TextGrid,8,12,his,60.220,60.410,PRP$,8.8073,6.51,3
audio01.TextGrid,8,13,hands,60.410,60.870,NNS,12.3463,5.16,4
audio01.TextGrid,8,14,had,60.870,61.020,VBD,9.8118,6.33,3
audio01.TextGrid,8,15,the,61.020,61.090,DT,3.8616,7.73,2
audio01.TextGrid,8,16,deep,61.090,61.370,JJ,7.5358,5.05,3
audio01.TextGrid,8,17,creased,61.370,61.820,JJ,7.7460,2.46,5
audio01.TextGrid,8,18,scars,61.820,62.350,NNS,9.2026,3.76,5
audio01.TextGrid,8,19,from,62.350,62.520,IN,6.4364,6.63,3
audio01.TextGrid,8,20,handling,62.520,62.900,VBG,14.7793,4.39,7
audio01.TextGrid,8,21,heavy,62.900,63.190,JJ,14.3257,4.96,4
audio01.TextGrid,8,22,fish,63.190,63.470,NN,6.2007,4.9,3
audio01.TextGrid,8,23,on,63.470,63.590,IN,6.4936,6.91,2
audio01.TextGrid,8,24,the,63.590,63.680,DT,2.4765,7.73,2
audio01.TextGrid,8,25,cords,63.680,64.240,NNS,9.4609,3.35,5
audio01.TextGrid,9,1,but,64.840,65.070,CC,8.3566,6.63,3
audio01.TextGrid,9,2,none,65.070,65.290,NN,16.5584,4.93,3
audio01.TextGrid,9,3,of,65.290,65.390,IN,5.7005,7.4,2
audio01.TextGrid,9,4,these,65.390,65.580,DT,8.4450,6.04,3
audio01.TextGrid,9,5,scars,65.580,66.030,NNS,9.4673,3.76,5
audio01.TextGrid,9,6,were,66.030,66.100,VBD,8.1827,6.34,2
audio01.TextGrid,9,7,fresh,66.100,66.570,JJ,15.2073,4.83,4
audio01.TextGrid,10,1,they,67.230,67.350,PRP,5.7369,6.5,2
audio01.TextGrid,10,2,were,67.350,67.580,VBD,6.5546,6.34,2
audio01.TextGrid,10,3,as,67.580,67.690,RB,7.3784,6.77,2
audio01.TextGrid,10,4,old,67.690,68.040,JJ,11.3356,5.75,3
audio01.TextGrid,10,5,as,68.040,68.160,IN,8.4635,6.77,2
audio01.TextGrid,10,6,erosions,68.160,68.830,NNS,9.9844,1.72,7
audio01.TextGrid,10,7,in,68.830,68.920,IN,4.8516,7.27,2
audio01.TextGrid,10,8,a,68.920,68.980,DT,3.7676,7.36,1
audio01.TextGrid,10,9,fishless,68.980,69.530,NN,6.0642,1.32,6
audio01.TextGrid,10,10,desert,69.550,70.050,NN,7.7705,4.4,5
audio01.TextGrid,11,1,everything,71.720,72.090,NN,16.7130,5.54,7
audio01.TextGrid,11,2,about,72.090,72.400,IN,9.0415,6.4,4
audio01.TextGrid,11,3,him,72.400,72.500,PRP,12.1380,6.11,2
audio01.TextGrid,11,4,was,72.500,72.650,VBD,6.0624,6.82,3
audio01.TextGrid,11,5,old,72.650,72.980,JJ,11.9114,5.75,3
audio01.TextGrid,11,6,except,72.980,73.300,IN,13.2334,5.02,6
