fichier,phrase_id,position,mot,onset,offset,POS,surprise_llm,freq_zipf,n_phones
audio01.TextGrid,3,13,caught,23.040,23.300,VBD,12.8087,4.9,3
audio01.TextGrid,3,14,three,23.300,23.650,CD,8.7487,5.78,3
audio01.TextGrid,3,15,good,23.650,24.010,JJ,10.1426,6.12,3
audio01.TextGrid,3,16,fish,24.010,24.330,VB,10.1535,4.9,3
audio01.TextGrid,3,17,the,24.330,24.450,DT,9.2591,7.73,2
audio01.TextGrid,3,18,first,24.450,24.870,JJ,4.9882,6.11,4
audio01.TextGrid,3,19,week,24.870,25.210,NN,7.7879,5.56,3
audio01.TextGrid,4,1,it,26.510,26.640,PRP,11.0007,6.95,2
audio01.TextGrid,4,2,made,26.640,26.830,VBD,12.3673,5.92,3
audio01.TextGrid,4,3,the,26.830,26.900,DT,4.7124,7.73,2
audio01.TextGrid,4,4,boy,26.900,27.130,JJ,10.2097,5.17,2
audio01.TextGrid,4,5,sad,27.130,27.560,NN,12.0571,4.84,3
audio01.TextGrid,4,6,to,27.560,27.650,TO,2.8566,7.43,2
audio01.TextGrid,4,7,see,27.650,27.820,VB,2.0758,6.1,2
audio01.TextGrid,4,8,the,27.820,27.960,DT,3.3663,7.73,2
audio01.TextGrid,4,9,old,27.960,28.170,JJ,9.0917,5.75,3
audio01.TextGrid,4,10,man,28.170,28.400,NN,3.1679,5.82,3
audio01.TextGrid,4,11,come,28.400,28.660,VBN,5.5298,5.78,3
audio01.TextGrid,4,12,in,28.660,28.780,IN,4.8242,7.27,2
audio01.TextGrid,4,13,each,28.780,29.040,DT,11.9237,5.69,2
audio01.TextGrid,4,14,day,29.040,29.270,NN,5.8064,5.95,2
audio01.TextGrid,4,15,with,29.270,29.470,IN,5.2332,6.85,3
audio01.TextGrid,4,16,his,29.470,29.660,PRP$,1.7487,6.51,3
audio01.TextGrid,4,17,skiff,29.660,30.000,NN,20.7087,2.63,4
audio01.TextGrid,4,18,empty,30.000,30.310,NN,16.2380,4.59,4
audio01.TextGrid,4,19,and,30.620,30.730,CC,6.4847,7.41,2
audio01.TextGrid,4,20,he,30.730,30.820,PRP,3.9283,6.69,2
audio01.TextGrid,4,21,always,30.820,31.060,RB,8.1386,5.76,5
audio01.TextGrid,4,22,went,31.060,31.220,VBD,6.7949,5.5,4
audio01.TextGrid,4,23,down,31.220,31.490,RB,6.2022,5.88,3
audio01.TextGrid,4,24,to,31.490,31.630,TO,1.8024,7.43,2
audio01.TextGrid,4,25,help,31.630,31.830,VB,9.2751,5.75,4
audio01.TextGrid,4,26,him,31.830,31.980,PRP,2.9144,6.11,2
audio01.TextGrid,4,27,carry,31.980,32.450,VB,10.8966,4.89,4
audio01.TextGrid,4,28,either,32.450,32.770,CC,14.9374,5.33,3
audio01.TextGrid,4,29,the,32.770,32.870,DT,6.0593,7.73,2
audio01.TextGrid,4,30,coiled,32.870,33.340,JJ,21.7006,2.9,4
audio01.TextGrid,4,31,lines,33.340,33.920,NNS,10.7576,4.95,4
audio01.TextGrid,4,32,or,33.920,34.020,CC,5.5452,6.54,1
audio01.TextGrid,4,33,the,34.020,34.130,DT,1.0642,7.73,2
audio01.TextGrid,4,34,gaff,34.130,34.490,NN,19.2703,2.68,3
audio01.TextGrid,4,35,and,34.490,34.660,CC,8.4419,7.41,3
audio01.TextGrid,4,36,harpoon,34.660,35.270,NN,23.2370,2.83,6
audio01.TextGrid,4,37,and,35.610,35.700,CC,5.2093,7.41,2
audio01.TextGrid,4,38,the,35.700,35.800,DT,4.8154,7.73,2
audio01.TextGrid,4,39,sail,35.800,36.150,NN,10.9854,4.01,3
audio01.TextGrid,4,40,that,36.150,36.340,WDT,8.1629,7.01,3
audio01.TextGrid,4,41,was,36.340,36.520,VBD,3.9259,6.82,3
audio01.TextGrid,4,42,furled,36.520,36.960,VBN,28.5947,1.74,4
audio01.TextGrid,4,43,around,36.960,37.110,IN,8.2107,5.77,4
audio01.TextGrid,4,44,the,37.110,37.190,DT,1.8600,7.73,2
audio01.TextGrid,4,45,mast,37.190,37.760,NN,12.5173,3.52,4
audio01.TextGrid,5,1,the,38.590,38.670,DT,11.8924,7.73,2
audio01.TextGrid,5,2,sail,38.670,39.060,NN,14.7425,4.01,3
audio01.TextGrid,5,3,was,39.060,39.300,VBD,12.0448,6.82,3
audio01.TextGrid,5,4,patched,39.300,39.740,VBN,15.1813,3.19,4
audio01.TextGrid,5,5,with,39.740,39.890,IN,3.0209,6.85,3
audio01.TextGrid,5,6,flour,39.930,40.260,JJ,14.2521,4.0,4
audio01.TextGrid,5,7,sacks,40.260,40.790,NNS,17.8773,3.59,4
audio01.TextGrid,5,8,and,40.790,41.030,CC,2.9107,7.41,3
audio01.TextGrid,5,9,furled,41.330,41.910,VBD,28.1667,1.74,4
audio01.TextGrid,5,10,it,41.910,42.130,PRP,6.7622,6.95,2
audio01.TextGrid,5,11,looked,42.130,42.370,VBD,12.8999,5.11,4
audio01.TextGrid,5,12,like,42.370,42.590,IN,1.2850,6.41,3
audio01.TextGrid,5,13,the,42.630,42.730,DT,4.3275,7.73,2
audio01.TextGrid,5,14,flag,42.780,43.180,NN,11.9886,4.58,4
audio01.TextGrid,5,15,of,43.180,43.280,IN,4.4413,7.4,2
audio01.TextGrid,5,16,permanent,43.340,43.790,JJ,19.1949,4.57,8
audio01.TextGrid,5,17,defeat,43.790,44.350,NN,16.3659,4.51,5
audio01.TextGrid,6,1,the,45.910,46.010,DT,11.8924,7.73,2
audio01.TextGrid,6,2,old,46.010,46.220,JJ,9.2031,5.75,3
audio01.TextGrid,6,3,man,46.220,46.460,NN,4.4194,5.82,3
audio01.TextGrid,6,4,was,46.460,46.690,VBD,6.5310,6.82,3
audio01.TextGrid,6,5,thin,46.710,47.000,JJ,15.3757,4.47,3
audio01.TextGrid,6,6,and,47.000,47.150,CC,2.8796,7.41,3
audio01.TextGrid,6,7,gaunt,47.150,47.650,NN,17.8407,2.9,4
audio01.TextGrid,6,8,with,47.650,47.800,IN,4.5910,6.85,3
audio01.TextGrid,6,9,deep,47.800,48.110,JJ,11.9732,5.05,3
audio01.TextGrid,6,10,wrinkles,48.110,48.570,NNS,21.7656,3.31,7
audio01.TextGrid,6,11,in,48.570,48.650,IN,5.0676,7.27,2
audio01.TextGrid,6,12,the,48.650,48.730,DT,1.7506,7.73,2
audio01.TextGrid,6,13,back,48.730,49.000,NN,5.3862,6.04,3
audio01.TextGrid,6,14,of,49.000,49.090,IN,1.1117,7.4,2
audio01.TextGrid,6,15,his,49.090,49.270,PRP$,0.4551,6.51,3
audio01.TextGrid,6,16,neck,49.270,49.630,NN,8.0620,4.63,3
audio01.TextGrid,7,1,the,50.470,50.550,DT,11.8924,7.73,2
audio01.TextGrid,7,2,brown,50.550,50.840,JJ,13.5928,5.01,4
audio01.TextGrid,7,3,blotches,50.840,51.470,NNS,30.0537,2.45,7
