fichier,phrase_id_con,position_con,mot_con,onset,offset_con,POS,surprisal_bits,oov,phrase_id_dep,position_dep,mot_dep,offset_dep,relation,tete,tete_position,tete_onset,profondeur,dist_pos,dist_temps,est_tete,mot,offset,duree
audio01.TextGrid,3.0,5.0,a,9.77,9.82,DT,2.0447,0.0,2,5,A,9.82,,HIM,10.0,10.65,2.0,5.0,0.8800000000000008,False,a,9.82,0.05000000000000071
audio01.TextGrid,3.0,6.0,boy,9.82,10.14,NN,13.6845,0.0,2,6,BOY,10.14,,HIM,10.0,10.65,2.0,4.0,0.8300000000000001,False,boy,10.14,0.3200000000000003
audio01.TextGrid,3.0,7.0,had,10.14,10.31,VBD,4.2494,0.0,2,7,HAD,10.31,,HIM,10.0,10.65,2.0,3.0,0.5099999999999998,False,had,10.31,0.16999999999999993
audio01.TextGrid,3.0,8.0,been,10.31,10.45,VBN,3.8305,0.0,2,8,BEEN,10.45,,HIM,10.0,10.65,2.0,2.0,0.33999999999999986,False,been,10.45,0.1399999999999988
audio01.TextGrid,3.0,9.0,with,10.45,10.65,IN,4.6303,0.0,2,9,WITH,10.65,,HIM,10.0,10.65,2.0,1.0,0.20000000000000107,False,with,10.65,0.20000000000000107
audio01.TextGrid,3.0,10.0,him,10.65,10.9,PRP,6.7448,0.0,2,10,HIM,10.9,,HIM,10.0,10.65,1.0,0.0,0.0,True,him,10.9,0.25
audio01.TextGrid,3.0,11.0,but,11.2,11.34,CC,2.8832,0.0,2,11,BUT,11.34,,HIM,10.0,10.65,2.0,1.0,0.5499999999999989,False,but,11.34,0.14000000000000057
audio01.TextGrid,3.0,12.0,after,11.34,11.59,IN,6.824,0.0,2,12,AFTER,11.59,,HIM,10.0,10.65,2.0,2.0,0.6899999999999995,False,after,11.59,0.25
audio01.TextGrid,3.0,13.0,forty,11.59,11.91,JJ,5.118,1.0,2,13,FORTY,11.91,,HIM,10.0,10.65,2.0,3.0,0.9399999999999995,False,forty,11.91,0.3200000000000003
audio01.TextGrid,3.0,14.0,days,11.91,12.27,NNS,6.8896,0.0,2,14,DAYS,12.27,,HIM,10.0,10.65,2.0,4.0,1.2599999999999998,False,days,12.27,0.35999999999999943
audio01.TextGrid,3.0,15.0,without,12.27,12.56,IN,8.1376,0.0,2,15,WITHOUT,12.56,,HIM,10.0,10.65,2.0,5.0,1.6199999999999992,False,without,12.56,0.2900000000000009
audio01.TextGrid,4.0,1.0,a,12.56,12.6,DT,2.0447,0.0,2,16,A,12.6,,HIM,10.0,10.65,2.0,6.0,1.9100000000000001,False,a,12.6,0.03999999999999915
audio01.TextGrid,4.0,2.0,fish,12.6,13.03,JJ,5.118,1.0,2,17,FISH,13.03,,HIM,10.0,10.65,2.0,7.0,1.9499999999999993,False,fish,13.03,0.4299999999999997
audio01.TextGrid,4.0,3.0,the,13.03,13.14,DT,0.7806,0.0,2,18,THE,13.14,,HIM,10.0,10.65,2.0,8.0,2.379999999999999,False,the,13.14,0.11000000000000121
audio01.TextGrid,4.0,4.0,boy,13.14,13.36,NN,13.6845,0.0,2,19,BOY,13.36,,HIM,10.0,10.65,2.0,9.0,2.49,False,boy,13.36,0.21999999999999886
audio01.TextGrid,4.0,5.0,s,13.36,13.43,NN,4.8869,1.0,2,20,S,13.43,,HIM,10.0,10.65,2.0,10.0,2.709999999999999,False,s,13.43,0.07000000000000028
audio01.TextGrid,4.0,6.0,parents,13.43,13.86,NNS,10.2401,0.0,2,21,PARENTS,13.86,,HIM,10.0,10.65,2.0,11.0,2.7799999999999994,False,parents,13.86,0.4299999999999997
audio01.TextGrid,4.0,7.0,had,13.86,14.03,VBD,4.2494,0.0,2,22,HAD,14.03,,HIM,10.0,10.65,2.0,12.0,3.209999999999999,False,had,14.03,0.16999999999999993
audio01.TextGrid,4.0,8.0,told,14.03,14.28,VBD,7.9863,0.0,2,23,TOLD,14.28,,HIM,10.0,10.65,2.0,13.0,3.379999999999999,False,told,14.28,0.25
audio01.TextGrid,4.0,9.0,him,14.28,14.46,PRP,6.7448,0.0,2,24,HIM,14.46,,ROOT,0.0,,0.0,,,True,him,14.46,0.1800000000000015
audio01.TextGrid,4.0,10.0,that,14.46,14.59,IN,4.2613,0.0,2,25,THAT,14.59,,HIM,10.0,10.65,2.0,15.0,3.8100000000000005,True,that,14.59,0.129999999999999
audio01.TextGrid,4.0,11.0,the,14.59,14.72,DT,0.7806,0.0,2,26,THE,14.72,,NOW,30.0,15.33,4.0,4.0,0.7400000000000002,False,the,14.72,0.13000000000000078
audio01.TextGrid,4.0,12.0,old,14.72,14.93,JJ,7.9253,0.0,2,27,OLD,14.93,,NOW,30.0,15.33,4.0,3.0,0.6099999999999994,False,old,14.93,0.20999999999999908
audio01.TextGrid,4.0,13.0,man,14.93,15.16,NN,10.0996,0.0,2,28,MAN,15.16,,NOW,30.0,15.33,4.0,2.0,0.40000000000000036,False,man,15.16,0.23000000000000043
audio01.TextGrid,4.0,14.0,was,15.16,15.33,VBD,3.0516,0.0,2,29,WAS,15.33,,NOW,30.0,15.33,4.0,1.0,0.16999999999999993,False,was,15.33,0.16999999999999993
audio01.TextGrid,4.0,15.0,now,15.33,15.51,RB,5.3332,0.0,2,30,NOW,15.51,,THAT,25.0,14.46,3.0,5.0,0.8699999999999992,True,now,15.51,0.17999999999999972
audio01.TextGrid,5.0,1.0,definitely,15.51,16.24,RB,11.4625,0.0,3,1,DEFINITELY,16.24,,SALAO,4.0,16.9,1.0,3.0,1.3899999999999988,False,definitely,16.24,0.7299999999999986
audio01.TextGrid,5.0,2.0,and,16.24,16.39,CC,0.5482,0.0,3,2,AND,16.39,,SALAO,4.0,16.9,1.0,2.0,0.6600000000000001,False,and,16.39,0.15000000000000213
audio01.TextGrid,5.0,3.0,finally,16.39,16.9,RB,9.4625,0.0,3,3,FINALLY,16.9,,SALAO,4.0,16.9,1.0,1.0,0.509999999999998,False,finally,16.9,0.509999999999998
audio01.TextGrid,5.0,4.0,salao,16.9,17.51,VB,2.8428,1.0,3,4,SALAO,17.51,,ROOT,0.0,,0.0,,,True,salao,17.51,0.610000000000003
audio01.TextGrid,6.0,1.0,which,17.89,18.08,WDT,0.9903,0.0,4,1,WHICH,18.08,,IS,2.0,18.08,1.0,1.0,0.18999999999999773,False,which,18.08,0.18999999999999773
audio01.TextGrid,6.0,2.0,is,18.08,18.2,VBZ,1.6609,0.0,4,2,IS,18.2,,ROOT,0.0,,0.0,,,True,is,18.2,0.120000000000001
audio01.TextGrid,6.0,3.0,the,18.2,18.29,DT,0.7806,0.0,4,3,THE,18.29,,UNLUCKY,7.0,19.08,2.0,4.0,0.879999999999999,False,the,18.29,0.08999999999999986
audio01.TextGrid,6.0,4.0,worst,18.29,18.66,JJS,5.5078,0.0,4,4,WORST,18.66,,UNLUCKY,7.0,19.08,2.0,3.0,0.7899999999999991,False,worst,18.66,0.370000000000001
audio01.TextGrid,6.0,5.0,form,18.66,18.97,NN,9.5971,0.0,4,5,FORM,18.97,,UNLUCKY,7.0,19.08,2.0,2.0,0.41999999999999815,False,form,18.97,0.3099999999999987
audio01.TextGrid,6.0,6.0,of,18.97,19.08,IN,2.0839,0.0,4,6,OF,19.08,,UNLUCKY,7.0,19.08,2.0,1.0,0.10999999999999943,False,of,19.08,0.10999999999999943
audio01.TextGrid,6.0,7.0,unlucky,19.08,19.67,JJ,5.118,1.0,4,7,UNLUCKY,19.67,,IS,2.0,18.08,1.0,5.0,1.0,True,unlucky,19.67,0.5900000000000034
audio01.TextGrid,7.0,1.0,and,20.43,20.51,CC,0.5482,0.0,5,1,AND,20.51,,ROOT,0.0,,0.0,,,False,and,20.51,0.08000000000000185
audio01.TextGrid,7.0,2.0,the,20.51,20.59,DT,0.7806,0.0,5,2,THE,20.59,,WEEK,19.0,24.87,1.0,17.0,4.359999999999999,False,the,20.59,0.0799999999999983
audio01.TextGrid,7.0,3.0,boy,20.59,20.89,NN,13.6845,0.0,5,3,BOY,20.89,,WEEK,19.0,24.87,1.0,16.0,4.280000000000001,False,boy,20.89,0.3000000000000007
audio01.TextGrid,7.0,4.0,had,20.89,21.05,VBD,4.2494,0.0,5,4,HAD,21.05,,WEEK,19.0,24.87,1.0,15.0,3.9800000000000004,False,had,21.05,0.16000000000000014
audio01.TextGrid,7.0,5.0,gone,21.05,21.31,VBN,9.4744,0.0,5,5,GONE,21.31,,WEEK,19.0,24.87,1.0,14.0,3.8200000000000003,False,gone,21.31,0.259999999999998
audio01.TextGrid,7.0,6.0,at,21.31,21.38,IN,4.5187,0.0,5,6,AT,21.38,,WEEK,19.0,24.87,1.0,13.0,3.5600000000000023,False,at,21.38,0.07000000000000028
audio01.TextGrid,7.0,7.0,their,21.38,21.57,PRP$,2.0576,0.0,5,7,THEIR,21.57,,WEEK,19.0,24.87,1.0,12.0,3.490000000000002,False,their,21.57,0.19000000000000128
audio01.TextGrid,7.0,8.0,orders,21.57,22.04,NNS,7.704,0.0,5,8,ORDERS,22.04,,WEEK,19.0,24.87,1.0,11.0,3.3000000000000007,False,orders,22.04,0.46999999999999886
audio01.TextGrid,7.0,9.0,in,22.04,22.15,IN,2.4946,0.0,5,9,IN,22.15,,WEEK,19.0,24.87,1.0,10.0,2.830000000000002,False,in,22.15,0.10999999999999943
audio01.TextGrid,7.0,10.0,another,22.15,22.47,DT,7.4103,0.0,5,10,ANOTHER,22.47,,WEEK,19.0,24.87,1.0,9.0,2.7200000000000024,False,another,22.47,0.3200000000000003
audio01.TextGrid,7.0,11.0,boat,22.47,22.84,NN,4.8869,1.0,5,11,BOAT,22.84,,WEEK,19.0,24.87,1.0,8.0,2.400000000000002,False,boat,22.84,0.370000000000001
audio01.TextGrid,7.0,12.0,which,22.84,23.04,WDT,0.9903,0.0,5,12,WHICH,23.04,,WEEK,19.0,24.87,1.0,7.0,2.030000000000001,False,which,23.04,0.1999999999999993
audio01.TextGrid,7.0,13.0,caught,23.04,23.3,VBN,9.0593,0.0,5,13,CAUGHT,23.3,,WEEK,19.0,24.87,1.0,6.0,1.8300000000000018,False,caught,23.3,0.26000000000000156
audio01.TextGrid,7.0,14.0,three,23.3,23.65,CD,6.1196,0.0,5,14,THREE,23.65,,WEEK,19.0,24.87,1.0,5.0,1.5700000000000003,False,three,23.65,0.34999999999999787
audio01.TextGrid,7.0,15.0,good,23.65,24.01,NN,12.6845,0.0,5,15,GOOD,24.01,,WEEK,19.0,24.87,1.0,4.0,1.2200000000000024,False,good,24.01,0.360000000000003
audio01.TextGrid,8.0,1.0,fish,24.01,24.33,VB,2.8428,1.0,5,16,FISH,24.33,,WEEK,19.0,24.87,1.0,3.0,0.8599999999999994,False,fish,24.33,0.31999999999999673
audio01.TextGrid,8.0,2.0,the,24.33,24.45,DT,0.7806,0.0,5,17,THE,24.45,,WEEK,19.0,24.87,1.0,2.0,0.5400000000000027,False,the,24.45,0.120000000000001
audio01.TextGrid,8.0,3.0,first,24.45,24.87,JJ,6.4017,0.0,5,18,FIRST,24.87,,WEEK,19.0,24.87,1.0,1.0,0.4200000000000017,False,first,24.87,0.4200000000000017
audio01.TextGrid,8.0,4.0,week,24.87,25.21,NN,7.9032,0.0,5,19,WEEK,25.21,,ROOT,0.0,,0.0,,,True,week,25.21,0.33999999999999986
audio01.TextGrid,9.0,1.0,it,26.51,26.64,PRP,1.5724,0.0,6,1,IT,26.64,,MADE,2.0,26.64,1.0,1.0,0.129999999999999,False,it,26.64,0.129999999999999
audio01.TextGrid,9.0,2.0,made,26.64,26.83,VBN,6.015,0.0,6,2,MADE,26.83,,ROOT,0.0,,0.0,,,True,made,26.83,0.18999999999999773
audio01.TextGrid,9.0,3.0,the,26.83,26.9,DT,0.7806,0.0,6,3,THE,26.9,,ROOT,0.0,,0.0,,,False,the,26.9,0.07000000000000028
audio01.TextGrid,9.0,4.0,boy,26.9,27.13,NN,13.6845,0.0,6,4,BOY,27.13,,EMPTY,18.0,30.0,1.0,14.0,3.1000000000000014,False,boy,27.13,0.23000000000000043
audio01.TextGrid,9.0,5.0,sad,27.13,27.56,JJ,12.5103,0.0,6,5,SAD,27.56,,EMPTY,18.0,30.0,1.0,13.0,2.870000000000001,False,sad,27.56,0.4299999999999997
audio01.TextGrid,9.0,6.0,to,27.56,27.65,TO,-0.0,0.0,6,6,TO,27.65,,EMPTY,18.0,30.0,1.0,12.0,2.4400000000000013,False,to,27.65,0.08999999999999986
audio01.TextGrid,9.0,7.0,see,27.65,27.82,VB,6.6747,0.0,6,7,SEE,27.82,,EMPTY,18.0,30.0,1.0,11.0,2.3500000000000014,False,see,27.82,0.1700000000000017
audio01.TextGrid,9.0,8.0,the,27.82,27.96,DT,0.7806,0.0,6,8,THE,27.96,,EMPTY,18.0,30.0,1.0,10.0,2.1799999999999997,False,the,27.96,0.14000000000000057
audio01.TextGrid,9.0,9.0,old,27.96,28.17,JJ,7.9253,0.0,6,9,OLD,28.17,,EMPTY,18.0,30.0,1.0,9.0,2.039999999999999,False,old,28.17,0.21000000000000085
audio01.TextGrid,9.0,10.0,man,28.17,28.4,NN,10.0996,0.0,6,10,MAN,28.4,,EMPTY,18.0,30.0,1.0,8.0,1.8299999999999983,False,man,28.4,0.22999999999999687
audio01.TextGrid,9.0,11.0,come,28.4,28.66,VBN,8.252,0.0,6,11,COME,28.66,,EMPTY,18.0,30.0,1.0,7.0,1.6000000000000014,False,come,28.66,0.26000000000000156
audio01.TextGrid,9.0,12.0,in,28.66,28.78,IN,2.4946,0.0,6,12,IN,28.78,,EMPTY,18.0,30.0,1.0,6.0,1.3399999999999999,False,in,28.78,0.120000000000001
