fichier,phrase_id,position,mot,onset,offset,relation,tete
audio01.TextGrid,6,13,EACH,28.780,29.040,,EMPTY
audio01.TextGrid,6,14,DAY,29.040,29.270,,EMPTY
audio01.TextGrid,6,15,WITH,29.270,29.470,,EMPTY
audio01.TextGrid,6,16,HIS,29.470,29.660,,EMPTY
audio01.TextGrid,6,17,SKIFF,29.660,30.000,,EMPTY
audio01.TextGrid,6,18,EMPTY,30.000,30.310,,ROOT
audio01.TextGrid,6,19,AND,30.620,30.730,,ROOT
audio01.TextGrid,6,20,HE,30.730,30.820,,COILED
audio01.TextGrid,6,21,ALWAYS,30.820,31.060,,COILED
audio01.TextGrid,6,22,WENT,31.060,31.220,,COILED
audio01.TextGrid,6,23,DOWN,31.220,31.490,,COILED
audio01.TextGrid,6,24,TO,31.490,31.630,,COILED
audio01.TextGrid,6,25,HELP,31.630,31.830,,COILED
audio01.TextGrid,6,26,HIM,31.830,31.980,,COILED
audio01.TextGrid,6,27,CARRY,31.980,32.450,,COILED
audio01.TextGrid,6,28,EITHER,32.450,32.770,,COILED
audio01.TextGrid,6,29,THE,32.770,32.870,,COILED
audio01.TextGrid,6,30,COILED,32.870,33.340,,ROOT
audio01.TextGrid,7,1,LINES,33.340,33.920,,FURLED
audio01.TextGrid,7,2,OR,33.920,34.020,,FURLED
audio01.TextGrid,7,3,THE,34.020,34.130,,FURLED
audio01.TextGrid,7,4,GAFF,34.130,34.490,,FURLED
audio01.TextGrid,7,5,AND,34.490,34.660,,FURLED
audio01.TextGrid,7,6,HARPOON,34.660,35.270,,FURLED
audio01.TextGrid,7,7,AND,35.610,35.700,,FURLED
audio01.TextGrid,7,8,THE,35.700,35.800,,FURLED
audio01.TextGrid,7,9,SAIL,35.800,36.150,,FURLED
audio01.TextGrid,7,10,THAT,36.150,36.340,,FURLED
audio01.TextGrid,7,11,WAS,36.340,36.520,,FURLED
audio01.TextGrid,7,12,FURLED,36.520,36.960,,ROOT
audio01.TextGrid,7,13,AROUND,36.960,37.110,,FURLED
audio01.TextGrid,7,14,THE,37.110,37.190,,MAST
